股票代码,简称,营业总收入(元),营业收入(元),金融资产利息收入(元),已赚保费(元),手续费及佣金收入(元),营业总成本(元),营业成本(元),金融资产利息支出(元),手续费及佣金支出(元),退保金(元),赔付支出净额(元),提取保险合同准备金净额(元),保单红利支出(元),分保费用(元),营业税金及附加(元),销售费用(元),管理费用(元),财务费用(元),资产减值损失(元),公允价值变动收益(元),投资收益(元),对联营企业和合营企业的投资收益(元),汇兑收益(元),营业利润(元),营业外收入(元),营业外支出(元),非流动资产处置净损失(元),利润总额(元),所得税(元),净利润(元),归属于母公司所有者的净利润(元),少数股东损益(元),基本每股收益(元),稀释每股收益(元)
600000,浦发银行,"128,426,046,000","67,917,672,000","121,221,237,000","0","7,204,809,000","44,559,808,000","32,160,945,000","59,779,675,000","489,083,000","0","0","0","0","0","4,898,888,000","0","0","0","7,499,975,000","-859,837,000","194,415,000","72,466,000","242,996,000","35,756,727,000","157,357,000","74,797,000","0","35,839,287,000","8,484,175,000","27,355,112,000","27,285,981,000","69,131,000","1.463","1.463"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"4,239,351,634.93","4,239,351,634.93","0","0","0","3,289,189,793.41","2,654,413,969.41","0","0","0","0","0","0","0","169,200,364.3","79,814,451.21","338,756,450.43","68,694,385.09","-21,689,827.03","0","4,162,400","0","0","954,324,241.52","27,887,978.26","5,258,154.58","2,402,007.68","976,954,065.2","246,602,089.97","730,351,975.23","697,102,478.89","33,249,496.34","0.61","0.61"
600005,武钢股份,"101,058,310,544.89","101,058,310,544.89","0","0","0","99,774,493,189.93","94,826,339,058.08","0","0","0","0","0","0","0","234,329,750.1","860,506,099.31","2,630,159,028.66","1,055,607,614.18","167,551,639.6","0","81,572,813.61","76,697,449.61","0","1,365,390,168.57","71,755,265.35","14,207,647.71","13,767,079.03","1,422,937,786.21","474,031,858.42","948,905,927.79","1,083,593,060.07","-134,687,132.28","0.109","0.109"
600006,东风汽车,"21,393,176,080.01","21,393,176,080.01","0","0","0","21,550,855,445.17","19,157,336,693.47","0","0","0","0","0","0","0","340,313,565.73","1,277,874,512.13","772,744,700.3","-33,747,919.9","36,333,893.44","0","588,629,947.38","505,906,667.58","0","430,950,582.22","240,505,858.02","51,610,401.46","3,814,700.89","619,846,038.78","62,875,856.76","556,970,182.02","464,139,175.3","92,831,006.72","0.23","0.23"
600007,中国国贸,"1,678,258,878","1,678,258,878","0","0","0","1,415,981,171","999,546,841","0","0","0","0","0","0","0","93,208,092","45,121,291","62,622,462","214,682,485","800,000","0","2,764,087","288,416","0","265,041,794","2,505,717","6,660,740","4,045,109","260,886,771","66,124,883","194,761,888","194,156,561","605,327","0.19","0.19"
600008,首创股份,"3,538,376,656.61","3,538,376,656.61","0","0","0","2,904,438,565.36","2,024,446,963.97","0","0","0","0","0","0","0","97,473,047.42","51,608,640.48","452,495,508.12","270,771,899.81","7,642,505.56","-3,748,182.5","-15,144,875.69","-23,428,483.32","0","615,045,033.06","242,643,149.06","12,045,992.25","4,337,441.99","845,642,189.87","170,305,725.8","675,336,464.07","522,871,175.06","152,465,289.01","0.2377","0.2377"
600009,上海机场,"4,611,211,636.06","4,611,211,636.06","0","0","0","3,235,233,721.03","2,799,699,543.16","0","0","0","0","0","0","0","182,105,829.46","0","162,088,862.12","90,061,380.22","1,278,106.07","0","568,515,845.04","562,102,447.72","0","1,944,493,760.07","5,152,374.72","5,912,988.42","5,102,216.11","1,943,733,146.37","328,559,782.04","1,615,173,364.33","1,499,594,589.5","115,578,774.83","0.78","0.78"
600010,包钢股份,"42,814,922,834.14","42,814,922,834.14","0","0","0","42,158,308,572.05","39,866,243,776.78","0","0","0","0","0","0","0","183,635,925.24","470,373,186.45","635,118,789.5","933,345,374.7","69,591,519.38","-5,311,147.96","22,183,817.9","4,641,070.33","0","673,486,932.03","38,628,909.66","65,628,497.37","63,330,496.17","646,487,344.32","149,935,802.61","496,551,541.71","496,293,308.4","258,233.31","0.08","0.08"
600011,华能国际,"133,420,768,944","133,420,768,944","0","0","0","133,084,696,640","121,816,767,862","0","0","0","0","0","0","0","484,018,981","9,095,133","2,916,160,374","7,493,529,355","365,124,935","-727,268","803,921,549","660,462,038","0","1,139,266,585","1,377,797,055","168,920,821","47,041,581","2,348,142,819","983,883,560","1,364,259,259","1,268,245,238","96,014,021","0.09","0.09"
