股票代码,简称,货币资金(元),结算备付金(元),拆出资金(元),交易性金融资产(元),应收票据(元),应收帐款(元),预付帐款(元),应收保费(元),应收分保账款(元),应收分保合同准备金(元),应收利息(元),应收股利(元),其他应收款(元),买入返售金融资产(元),存货(元),一年内到期的非流动资产(元),其他流动资产(元),流动资产合计(元),发放贷款和垫款(元),可供出售金融资产(元),持有至到期投资(元),长期应收款(元),长期股权投资(元),投资性房地产(元),固定资产净额(元),在建工程(元),工程物资(元),固定资产清理(元),生产性生物资产(元),油气资产(元),无形资产(元),开发支出(元),商誉(元),长期待摊费用(元),递延税款借项合计(元),其他长期资产(元),非流动资产合计(元),资产总计(元),短期借款(元),向中央银行借款(元),吸收存款及同业存放(元),拆入资金(元),交易性金融负债(元),应付票据(元),应付帐款(元),预收帐款(元),卖出回购金融资产款(元),应付手续费及佣金(元),应付职工薪酬(元),应交税金(元),应付利息(元),应付股利(元),其他应付款(元),应付分保账款(元),保险合同准备金(元),代理买卖证券款(元),代理承销证券款(元),一年内到期的长期负债(元),其他流动负债(元),流动负债合计(元),长期借款(元),应付债券(元),长期应付款(元),专项应付款(元),预计负债(元),递延税款贷项合计(元),其他长期负债(元),长期负债合计(元),负债合计(元),股本(元),资本公积(元),库存股(元),盈余公积(元),一般风险准备(元),未分配利润(元),外币报表折算差额(元),归属于母公司所有者权益合计(元),少数股东权益(元),股东权益合计(元),负债和股东权益合计(元)
600000,浦发银行,"0","0","111,415,298,000","5,866,841,000","0","0","0","0","0","0","11,071,074,000","0","812,556,000","281,509,782,000","0","0","0","0","1,302,323,950,000","147,929,131,000","158,535,453,000","0","1,856,861,000","0","8,137,072,000","0","0","0","0","0","457,034,000","0","0","0","4,269,859,000","0","0","2,684,693,689,000","0","50,000,000","0","66,970,025,000","0","0","0","0","86,019,569,000","0","6,853,628,000","6,509,666,000","20,278,588,000","0","0","0","0","0","0","0","0","0","0","32,600,000,000","0","0","0","0","0","0","2,535,150,909,000","18,653,471,000","59,543,902,000","0","21,805,744,000","18,700,000,000","30,188,118,000","0","148,891,235,000","651,545,000","149,542,780,000","2,684,693,689,000"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"854,257,105.09","0","0","10,000,000","0","699,689,778.28","33,584,281.12","0","0","0","0","0","152,229,769.65","0","43,153,683.42","0","0","1,792,914,617.56","0","126,720,000","0","0","71,400,000","0","8,409,646,564.97","103,240,907.25","0","0","0","0","23,029,009.29","0","0","7,684,383.7","104,829,367.46","0","8,846,550,232.67","10,639,464,850.23","0","0","0","0","0","23,700,000","85,580,845.53","61,972,630.72","0","0","209,894,506.33","197,353,946.2","37,714,702.05","11,945,618.25","1,102,089,596.5","0","0","0","0","0","0","3,230,251,845.58","85,000,000","0","0","0","0","12,180,000","0","320,586,550.54","3,550,838,396.12","1,150,000,000","3,222,598,605.6","0","488,757,632.08","0","2,008,541,254.63","0","6,869,897,492.31","218,728,961.8","7,088,626,454.11","10,639,464,850.23"
600005,武钢股份,"1,781,287,802.32","0","0","0","4,320,261,911.96","347,097,751.97","1,389,897,356.83","0","0","0","0","0","137,419,777.62","0","16,575,297,038.83","0","0","24,551,261,639.53","0","0","0","450,000","3,738,498,489.11","0","60,711,123,197.84","6,371,138,947.03","103,666,145.28","0","0","0","416,780,543.15","0","0","0","197,365,098.53","10,389,195.09","71,549,411,616.03","96,100,673,255.56","23,024,074,193.76","0","0","0","0","6,608,925,727.27","12,354,743,821.96","5,612,079,082.95","0","0","476,222,758.26","-1,373,615,922.8","93,634,388.91","0","1,335,205,434.71","0","0","0","0","8,678,028,089.56","15,323,292.55","56,824,620,867.13","1,978,107,905.76","0","40,410,000","0","0","0","67,320,392.48","2,085,838,298.24","58,910,459,165.37","10,093,779,823","10,140,356,510.69","0","4,673,341,378.95","0","10,983,324,268.61","-131,786.86","35,909,714,063.37","1,280,500,026.82","37,190,214,090.19","96,100,673,255.56"
600006,东风汽车,"3,540,250,569.18","0","0","0","5,125,730,092.43","791,088,167.74","322,196,992.61","0","0","0","6,542,517.63","0","377,122,330.33","0","2,563,150,425.96","0","72,050,000","12,798,131,095.88","0","0","0","0","1,444,408,000.37","19,507,091.49","2,630,629,768.74","1,190,106,595.31","0","1,738,112.97","0","0","692,041,485.39","102,483,634.19","309,868,490.5","519,346.73","213,328,228.38","6,000,000","6,610,630,754.07","19,408,761,849.95","0","0","0","0","0","4,716,595,133.37","4,232,770,044.59","847,022,452.59","0","0","222,348,403.73","229,334,672.94","0","0","1,255,811,019.13","0","0","0","0","0","0","11,503,881,726.35","0","0","0","0","98,672,980.15","10,367,693.14","276,308,689.64","385,349,362.93","11,889,231,089.28","2,000,000,000","646,964,387.23","0","708,692,853.6","0","2,697,705,595.68","0","6,053,362,836.51","1,466,167,924.16","7,519,530,760.67","19,408,761,849.95"
600007,中国国贸,"420,995,861","0","0","0","0","158,757,262","17,814,279","0","0","0","0","0","7,973,256","0","29,041,087","0","0","634,581,745","0","0","0","0","4,501,614","5,407,366,024","1,454,332,167","329,165,263","0","0","0","0","1,302,501,710","0","0","267,822,202","24,679,835","0","8,790,368,815","9,424,950,560","0","0","0","0","0","0","19,069,906","50,292,325","0","0","44,418,043","35,857,582","5,087,731","0","649,860,890","0","0","0","0","0","0","804,586,477","3,176,030,000","1,000,000,000","0","0","0","0","0","4,176,030,000","4,980,616,477","1,007,282,534","1,872,518,599","0","418,706,119","0","1,144,440,492","0","4,442,947,744","1,386,339","4,444,334,083","9,424,950,560"
600008,首创股份,"3,153,353,084.15","0","0","10,753,826.95","4,746,550","759,414,407.27","1,556,301,815.62","0","0","0","0","20,000,000","645,173,407.73","0","2,123,124,805.7","7,557,334.02","0","8,280,425,231.44","0","163,618,973.16","482,143,900","35,000,000","1,152,971,468.96","0","3,941,920,612.65","125,019,048.65","209,911.8","0","0","0","4,763,525,453.93","0","41,995,660.82","5,969,030.77","30,761,899.81","0","10,743,135,960.55","19,023,561,191.99","1,337,860,000","0","0","0","0","0","750,729,446.59","775,858,429","0","0","132,150,827.95","124,119,215.62","72,937,882.35","41,738,444.8","986,731,313.46","0","0","0","0","453,080,113.8","1,434,315.13","4,676,639,988.7","3,272,850,906.36","2,000,000,000","137,732,203.51","74,634,063.26","464,107,208.97","17,010,624.44","24,615,781.53","5,990,950,788.07","10,667,590,776.77","2,200,000,000","1,664,835,412.11","0","580,316,232.58","0","971,738,123.78","-26,214,617.97","5,390,675,150.5","2,965,295,264.72","8,355,970,415.22","19,023,561,191.99"
600009,上海机场,"3,415,073,521.25","0","0","0","19,015,471.45","989,795,148.03","389,388.6","0","0","0","10,850,326.1","5,055,954.5","11,063,092.93","0","18,639,120.98","0","0","4,469,882,023.84","0","0","0","0","1,663,350,333.83","0","12,090,946,489.29","249,619,748.76","0","0","0","0","369,359,724.66","0","0","0","76,793,079.36","0","14,450,069,375.9","18,919,951,399.74","0","0","0","0","0","0","65,442,006.21","12,912,119.33","0","0","280,409,053.78","127,469,836.34","40,958,899.11","0","415,556,015.04","0","0","0","0","0","0","942,747,929.81","0","2,486,529,084.89","0","0","0","0","0","2,486,529,084.89","3,429,277,014.7","1,926,958,448","2,575,497,907.54","0","1,309,796,168","0","9,548,143,086.67","0","15,360,395,610.21","130,278,774.83","15,490,674,385.04","18,919,951,399.74"
