股票代码,简称,公司法定中文名称,公司法定代表人,公司注册地址,公司办公地址邮政编码,公司国际互联网网址,公司董事会秘书姓名,公司董事会秘书电话,公司董事会秘书电子信箱,报告期末股东总数,每10股送红股数,每10股派息数（含税）,每10股转增数,本期营业收入(元),本期营业利润(元),利润总额(元),归属于上市公司股东的净利润(元),归属于上市公司股东的扣除非经常性损益的净利润(元),经营活动产生的现金流量净额(元),总资产(元),所有者权益（或股东权益）(元),基本每股收益(元/股),稀释每股收益(元/股),扣除非经常性损益后的基本每股收益(元/股),全面摊薄净资产收益率（%）,加权平均净资产收益率（%）,扣除非经常性损益后全面摊薄净资产收益率（%）,扣除非经常性损益后的加权平均净资产收益率（%）,每股经营活动产生的现金流量净额(元/股),归属于上市公司股东的每股净资产（元/股）
600000,浦发银行,"上海浦东发展银行股份有限公司","吉晓辉","中国上海市中山东一路12号","200002","http://www.spdb.com.cn","沈思","021-63611226","Shens2@spdb.com.cn","411,643","0","5.5","0","82,952,000,000","0","0","34,186,000,000","33,748,000,000","92,578,000,000","3,145,707,000,000","177,497,000,000","1.83","1.83","1.81","0","20.95","0","20.68","0","0"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"广州白云国际机场股份有限公司","张克俭","广州市白云国际机场南工作区自编一号","510470","www.gbiac.net","徐光玉","020-36063595","irm@gbiac.net","70,797","0","3.3","0","4,673,315,397","0","0","753,089,789.84","806,728,917.26","1,796,659,660.92","10,144,297,185.72","7,226,097,282.15","0.65","0.65","0.7","0","10.64","0","11.4","0","0"
600005,武钢股份,"武汉钢铁股份有限公司","邓崎琳","武汉市青山区沿港路3号","430083","http://www.wisco.com.cn","万毅","027-86802031","wiscl@wisco.com.cn","459,560","0","0.1","0","91,579,393,163.28","0","0","210,001,730.26","-97,186,263.09","3,854,637,916.78","98,727,626,693.56","35,612,996,204.56","0.02","0.02","-0.01","0","0.59","0","-0.27","0","0"
600006,东风汽车,"东风汽车股份有限公司","徐平","湖北省襄阳市高新区春园路15号","430056","www.dfac.com","张新峰","027-84287977","zhangxinfeng@dfac.com","180,879","0","0.03","0","17,699,645,354.22","0","0","21,734,192.67","-285,100,387.16","-363,094,845.27","18,602,494,763.98","5,978,180,582.45","0.01","0.01","-0.14","0","0.36","0","-4.76","0","0"
600007,中国国贸,"中国国际贸易中心股份有限公司","洪敬南","北京市建国门外大街1号","100004","http://www.cwtc.com","王京京","010-65052288","dongmi@cwtc.com","31,396","0","1.6","0","1,979,950,431","0","0","382,577,911","368,914,016","979,722,570","9,370,785,454","4,694,578,926","0.38","0.38","0.37","0","8.41","0","8.11","0","0"
600008,首创股份,"北京首创股份有限公司","刘晓光","北京市海淀区双榆树知春路76号翠宫饭店写字楼15层","100028","http://www.capitalwater.cn","郭鹏","010-64689035","securities@capitalwater.cn","182,073","0","1.5","0","3,382,924,612.87","0","0","581,308,910.9","516,230,910.95","65,564,099.03","21,954,981,393.82","5,703,248,841.97","0.26","0","0.23","0","10.48","0","9.31","0","0"
600009,上海机场,"上海国际机场股份有限公司","贾锐军","上海市浦东新区启航路900号","201207","http://www.shairport.com","黄晔","（021）68341609","ir@shairport.com","104,130","0","3.7","0","4,720,413,738.72","0","0","1,581,059,059.47","1,544,317,268.1","2,182,424,793.27","19,408,838,355.4","15,785,279,600.88","0.82","0.82","0.8","0","10.03","0","9.8","0","0"
600010,包钢股份,"内蒙古包钢钢联股份有限公司","周秉利","内蒙古包头市昆区河西工业区","014010","glgfzqb@126.com","董林","0472-2189515","glgfzqb@126.com","439,589","0","0.1","0","36,933,606,038.91","0","0","256,141,255.69","284,713,245.62","5,490,156,129.97","63,759,371,459.56","12,956,257,045.72","0.04","0.04","0.04","0","1.98","0","2.21","0","0"
600011,华能国际,"华能国际电力股份有限公司","曹培玺","北京市西城区复兴门南大街丙2号（天银大厦C段西区）","100031","www.hpi.com.cn;www.hpi-ir.com.hk","杜大明","010-63226999","ddm@hpi.com.cn","100,827","0","2.1","0","133,966,658,882","0","0","5,868,651,294","5,825,205,568","26,928,082,036","256,861,869,430","55,580,790,014","0.42","0.42","0.41","0","11.11","0","11.03","0","0"
600012,皖通高速,"安徽皖通高速公路股份有限公司","周仁强","安徽省合肥市望江西路520号","230088","http://www.anhui-expressway.net","谢新宇","0551-65338681","wtgs@anhui-expressway.net","58,900","0","2","0","2,222,507,036.21","0","0","761,000,765.2","760,774,928.16","1,309,791,902.29","11,334,161,449.16","6,543,343,874.35","0.46","0.46","0.46","0","11.81","0","11.81","0","0"
600015,华夏银行,"华夏银行股份有限公司","吴建","北京市东城区建国门内大街22号","100005","http://www.hxb.com.cn；http://www.95577.com.cn","赵军学","010-85238570","zhdb@hxb.com.cn","143,739","0","4.7","3","39,776,951,110.25","0","0","12,796,280,935.73","12,728,214,000","94,843,935,255.39","1,488,860,063,615.67","74,694,208,106.24","1.87","1.87","1.86","0","18.5","0","18.41","0","0"
600016,民生银行,"中国民生银行股份有限公司","董文标","中国北京市西城区复兴门内大街2号","100031","www.cmbc.com.cn","万青元","86-10－68946790","cmbc@cmbc.com.cn","691,909","0","3","0","103,111,000,000","0","0","37,563,000,000","37,778,000,000","-19,889,000,000","3,212,001,000,000","163,077,000,000","1.34","1.34","1.35","0","25.24","0","25.38","0","0"
600017,日照港,"日照港股份有限公司","杜传志","山东省日照市海滨二路","276826","http://www.rzpcl.com","余慧芳","0633-8388822","yhfang@rzport.com","131,541","0","0","0","4,798,872,357.48","0","0","786,500,758.81","705,598,610","981,654,784.11","13,816,471,938.28","8,652,400,816.91","0.26","0.26","0.24","0","9.6","0","9.54","0","0"
600018,上港集团,"上海国际港务（集团）股份有限公司","陈戌源","上海市浦东新区芦潮港镇同汇路1号综合大楼A区4楼","200080","http://www.portshanghai.com.cn","张欣","021-55333388","dongmi@portshanghai.com.cn","362,708","0","1.34","0","28,381,021,292.78","0","0","4,969,266,616.6","4,812,475,824.31","6,541,665,712.26","87,102,992,260.11","47,735,873,947.7","0.22","0.22","0.21","0","10.75","0","10.41","0","0"
600019,宝钢股份,"宝山钢铁股份有限公司","何文波","上海市宝山区富锦路885号宝钢指挥中心","201900","http://www.baosteel.com/plc/","朱可炳","86-21-26647000","ir@baosteel.com","539,035","0","0","0","191,135,536,828.1","0","0","10,386,372,522.05","4,719,860,751.49","22,202,173,868.88","214,357,301,000.24","111,387,268,716.72","0.6","0.6","0.27","0","9.52","0","4.33","0","0"
600020,中原高速,"河南中原高速公路股份有限公司","关健","郑州市郑东新区民生路1号1号楼第7层、第8层","450016","http://www.zygs.com","许亮","0371-67717696","zygs600020@163.com","123,495","0","1","0","3,970,890,163.36","0","0","519,821,569.97","509,995,705.9","1,864,361,880.05","31,044,964,534.45","6,796,752,757.91","0.23","0.23","0.23","0","7.91","0","7.76","0","0"
600021,上海电力,"上海电力股份有限公司","王运丹","上海市中山南路268号","200010","www.shanghaipower.com","夏梅兴","021-23108718或021-23108800转","sepco@shanghaipower.com","114,763","0","1.5","0","15,044,339,577.39","0","0","883,103,619.02","875,933,899.23","3,214,024,844.72","31,567,243,666.67","6,961,294,192.55","0.41","0.41","0.41","0","13.75","0","13.64","0","0"
600022,山东钢铁,"山东钢铁股份有限公司","任浩","济南市工业北路21号","250101","www.sdsteel.cc","金立山","0531-67606889","sdgt600022@126.com","257,399","0","0","0","73,303,683,975.98","0","0","-3,836,510,885.35","-3,434,692,156.19","3,091,903,547.48","53,201,055,396.6","12,850,670,835.2","-0.65","-0.65","-0.58","0","-29.1","0","-26.06","0","0"
600026,中海发展,"中海发展股份有限公司","李绍德","上海市洋山保税港区业盛路188号A-1015室","200080","www.cnshippingdev.com","姚巧红","021-65967678","csd@cnshipping.com","104,371","0","0","0","11,156,649,488.5","0","0","73,741,212.22","-439,383,283.42","978,111,561.19","57,860,522,758.03","23,517,137,327.04","0.02","0.02","-0.13","0","0.31","0","-1.86","0","0"
600027,华电国际,"华电国际电力股份有限公司","云公民","山东省济南市经十路14800号","100031","www.hdpi.com.cn","周连青","010-8356 7779","zhoulq@hdpi.com.cn","156,538","0","0.65","0","59,489,973,000","0","0","1,417,695,000","845,617,000","12,282,605,000","164,571,149,000","19,301,932,000","0.2","0.2","0.12","0","7.98","0","4.76","0","0"
600028,中国石化,"中国石油化工股份有限公司","傅成玉","北京市朝阳门北大街22号","100728","www.sinopec.com","黄文生","59960028","ir@sinopec.com","732,218","2","0","1","2,786,045,000,000","87,926,000,000","90,107,000,000","63,496,000,000","61,922,000,000","143,462,000,000","1,247,271,000,000","513,374,000,000","0.73","0.7","0.71","0","12.8","0","12.48","1.65","5.91"
600029,南方航空,"中国南方航空股份有限公司","董事长司献民先生","广东省广州市经济技术开发区","510405","www.csair.com","谢兵","020-86124462","ir@csair.com","263,030","0","0.5","0","101,483,000,000","0","0","2,628,000,000","2,471,000,000","13,384,000,000","142,494,000,000","32,740,000,000","0.27","0.27","0.25","0","8.15","0","7.66","0","0"
600030,中信证券,"中信证券股份有限公司","王东明","广东省深圳市福田区中心三路8号卓越时代广场（二期）北座","518048","http://www.cs.ecitic.com","郑京","0755-23835383","ir@citics.com","604,238","0","3","0","11,693,881,925.78","0","0","4,237,418,476.37","4,190,666,923.74","-19,102,688,007.45","168,507,554,655.12","86,465,003,750.73","0.38","0.38","0.38","0","4.9","0","4.84","0","0"
600031,三一重工,"三一重工股份有限公司","梁稳根","长沙市经济技术开发区三一路三一工业城三一行政中心","410100","www.sanyhi.com","肖友良","0731-84031555","xyl@sany.com.cn","501,672","0","2.5","0","46,830,535,000","0","0","5,686,095,000","5,030,802,000","5,681,738,000","64,461,400,000","23,019,414,000","0.75","0.75","0.66","0","26.64","0","23.57","0.75","0"
600033,福建高速,"福建发展高速公路股份有限公司","黄祥谈","福建省福州市东水路18号福建交通综合大楼26层","350001","www.fjgs.com.cn","何高文","0591-87077366","stock@fjgs.com.cn","155,220","0","1","0","2,425,428,245.1","0","0","410,691,634.58","414,362,754.04","1,643,046,794.05","19,771,908,422.04","7,239,294,558.38","0.15","0.15","0.15","0","5.77","0","5.82","0","0"
600035,楚天高速,"湖北楚天高速公路股份有限公司","肖跃文","湖北省武汉市汉阳区龙阳大道9号","430051","www.hbctgs.com","郭生辉","027?84863942","600035@hbctgs.com","52,911","0","0.7","0","954,243,368.11","0","0","195,347,859.21","194,923,206.28","661,137,264.8","11,808,728,373.53","3,332,223,573.72","0.21","0.21","0.21","0","5.96","0","5.95","0","0"
600036,招商银行,"招商银行股份有限公司","傅育宁","中国广东省深圳市福田区深南大道7088号","518040","www.cmbchina.com","兰奇","0755-8319 8888","cmb@cmbchina.com","533,864","0","6.3","0","113,367,000,000","0","0","45,273,000,000","44,745,000,000","249,713,000,000","3,408,219,000,000","200,434,000,000","2.1","2.1","2.07","0","24.78","0","24.49","0","0"
600037,歌华有线,"北京歌华有线电视网络股份有限公司","郭章鹏","北京市海淀区花园北路35号（东门）","100007","www.bgctv.com.cn","梁彦军","010-62364114","600037@bgctv.com.cn","111,135","0","1","0","2,202,089,690.59","0","0","297,404,204.1","-129,863,868.87","889,252,817.59","10,427,703,902.47","5,507,707,696.55","0.28","0.28","-0.12","0","5.5","0","-2.4","0","0"
600038,哈飞股份,"哈飞航空工业股份有限公司","郭殿满","哈尔滨市高新技术开发区集中开发区34号楼","150066","www.hafei.com","顾韶辉","0451-86528350","gsh0808@sina.com","30,008","0","1.6","0","2,858,187,038.33","0","0","115,556,753.89","114,330,685.42","457,174,728.13","4,986,243,530.66","1,596,364,599.26","0.34","0.34","0.34","0","7.42","0","7.35","0","0"
