股票代码,简称,销售商品提供劳务收到的现金(元),客户存款和同业存放款项净增加额(元),向中央银行借款净增加额(元),向其他金融机构拆入资金净增加额(元),收到原保险合同保费取得的现金(元),收到再保险业务现金净额(元),保户储金及投资款净增加额(元),处置交易性金融资产净增加额(元),收取利息、手续费及佣金的现金(元),拆入资金净增加额(元),回购业务资金净增加额(元),收到的税费返还(元),收到的其他与经营活动有关的现金(元),经营活动现金流入小计(元),购买商品接受劳务支付的现金(元),客户贷款及垫款净增加额(元),存放中央银行和同业款项净增加额(元),支付原保险合同赔付款项的现金(元),支付利息、手续费及佣金的现金(元),支付保单红利的现金(元),支付给职工以及为职工支付的现金(元),支付的各项税费(元),支付的其他与经营活动有关的现金(元),经营活动现金流出小计(元),经营活动现金流量净额(元),收回投资所收到的现金(元),取得投资收益所收到的现金(元),处置固定资产、无形资产和其他长期资产而收回的现金(元),收回投资所收到的现金中的出售子公司收到的现金(元),收到的其他与投资活动有关的现金(元),投资活动现金流入小计(元),购建固定资产、无形资产和其他长期资产所支付的现金(元),投资所支付的现金(元),质押贷款净增加额(元),取得子公司及其他营业单位支付的现金净额(元),支付的其他与投资活动有关的现金(元),投资活动现金流出小计(元),投资活动产生的现金流量净额(元),吸收投资所收到的现金(元),吸收投资所收到的现金中的子公司吸收少数股东权益性投资收到的现金(元),借款所收到的现金(元),发行债券所收到的现金(元),收到其他与筹资活动有关的现金(元),筹资活动现金流入小计(元),偿还债务所支付的现金(元),分配股利利润或偿付利息所支付的现金(元),分配股利利润或偿付利息所支付的现金中的支付少数股东的股利(元),支付的其他与筹资活动有关的现金(元),筹资活动现金流出小计(元),筹资活动产生的现金流量净额(元),汇率变动对现金的影响(元),现金及现金等价物净增加额(元),现金及现金等价物余额(元)
600000,浦发银行,"0","459,886,000,000","486,000,000","0","0","0","0","0","0","0","0","0","21,468,000,000","684,084,000,000","0","227,004,000,000","0","0","0","0","16,743,000,000","19,924,000,000","10,424,000,000","375,678,000,000","308,406,000,000","437,088,000,000","36,016,000,000","0","0","16,000,000","473,120,000,000","2,893,000,000","785,267,000,000","0","0","0","788,160,000,000","-315,040,000,000","505,000,000","505,000,000","0","0","0","3,467,000,000","8,200,000,000","13,643,000,000","0","0","21,843,000,000","-18,376,000,000","-1,048,000,000","-26,058,000,000","266,116,000,000"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"5,450,411,411.21","0","0","0","0","0","0","0","0","0","0","0","57,301,347.82","5,507,712,759.03","1,241,180,395.85","0","0","0","0","0","1,581,717,785.48","540,998,105.74","177,847,544.68","3,541,743,831.75","1,965,968,927.28","0","2,552,000","557,965.42","0","10,000,000","13,109,965.42","89,677,492.92","17,500,000","0","0","0","107,177,492.92","-94,067,527.5","0","0","0","0","0","0","882,000,000","421,102,688.23","11,675,738.26","10,931,528.67","1,314,034,216.9","-1,314,034,216.9","72,724.75","557,939,907.63","1,707,230,536.61"
600005,武钢股份,"92,071,943,040.59","0","0","0","0","0","0","0","0","0","0","5,792,378.1","157,158,516.57","92,234,893,935.26","79,495,917,713.82","0","0","0","0","0","4,787,150,221.48","2,787,033,368.21","936,638,151.98","88,006,739,455.49","4,228,154,479.77","911,000","43,850,500","228,801,269.1","0","0","273,562,769.1","2,289,473,454","376,000,000","0","0","0","2,665,473,454","-2,391,910,684.9","3,402,896","0","30,640,343,586.79","0","0","30,643,746,482.79","30,360,787,981.21","1,745,632,701.7","0","22,684,000","32,129,104,682.91","-1,485,358,200.12","-5,964,999.55","344,920,595.2","1,958,588,491.93"
600006,东风汽车,"16,800,152,784.59","0","0","0","0","0","0","0","0","0","0","95,883,602.18","404,735,883.14","17,300,772,269.91","13,896,822,603.92","0","0","0","0","0","1,357,161,289.98","961,278,275.18","1,602,763,837.03","17,818,026,006.11","-517,253,736.2","177,265,683.79","283,439,720.8","1,000,239,468.7","0","24,921,524.43","1,485,866,397.72","442,388,732.61","259,141,127.52","0","0","0","701,529,860.13","784,336,537.59","0","0","32,497,423","0","437,345,724.11","469,843,147.11","37,103,098.3","59,321,856.33","400,000","401,453,220.22","497,878,174.85","-28,035,027.74","5,915,692.17","244,963,465.82","3,664,143,239.04"
600007,中国国贸,"2,077,619,114","0","0","0","0","0","0","0","0","0","0","0","100,063,983","2,177,683,097","239,304,260","0","0","0","0","0","257,506,814","350,888,590","232,572,118","1,080,271,782","1,097,411,315","1,706,000,000","0","426,475","0","8,298,883","1,714,725,358","528,673,478","1,706,000,000","0","0","0","2,234,673,478","-519,948,120","0","0","0","0","0","0","226,030,000","371,642,986","650,000","0","597,672,986","-597,672,986","151,130","-20,058,661","423,912,391"
600008,首创股份,"3,903,016,622.73","0","0","0","0","0","0","0","0","0","0","1,891,698.3","456,792,210.63","4,361,700,531.66","2,372,128,999.82","0","0","0","0","0","768,667,697.58","424,610,263.05","689,394,959.68","4,254,801,920.13","106,898,611.53","444,247,880","648,744,950.12","39,540,687.31","0","1,137,727,053.17","2,871,195,404.29","1,413,396,279.54","580,190,223.35","0","0","128,383,809.85","2,121,970,312.74","749,225,091.55","19,431,662.75","7,431,662.75","6,517,653,992.57","1,110,735,601.7","8,522,163.23","7,656,343,420.25","6,810,870,351.35","965,160,511.07","23,402,314.82","45,874,455.66","7,821,905,318.08","-165,561,897.83","-3,836,887.82","686,724,917.43","3,007,780,299.98"
600009,上海机场,"5,424,773,437.6","0","0","0","0","0","0","0","0","0","0","0","241,872,855.95","5,666,646,293.55","825,738,592.62","0","0","0","0","0","1,058,580,806.61","508,850,244.12","424,671,320.17","2,817,840,963.52","2,848,805,330.03","0","565,165,589.82","1,030,218.29","0","0","566,195,808.11","530,400,448.63","45,965,036.15","0","0","0","576,365,484.78","-10,169,676.67","0","0","0","0","0","0","0","958,597,963.9","115,578,774.83","0","958,597,963.9","-958,597,963.9","-41.95","1,880,037,647.51","6,675,736,780.11"
