股票代码,简称,国家持有的有限售条件流通股份数,国有法人持有的有限售条件流通股份数,其他有限售条件的内资流通股份数,境内法人持有的有限售条件流通股份数,境内自然人持有的有限售条件流通股份数,有限售条件的外资流通股份数,境外法人持有的有限售条件流通股份数,境外自然人持有的有限售条件流通股份数,其他有限售股流通股数,有限售条件流通股数,无限售条件人民币普通股数,无限售条件境内上市的外资股数,无限售条件境外上市的外资股数,其他无限售条件已上市流通股份数,无限售条件流通股份合计,股份总数,国家持有的有限售条件流通股份占总股本比例(%),国有法人持有的有限售条件流通股份占总股本比例(%),其他有限售条件的内资流通股份占总股本比例(%),境内法人持有的有限售条件流通股份占总股本比例(%),境内自然人持有的有限售条件流通股份占总股本比例(%),有限售条件的外资流通股份占总股本比例(%),境外法人持有的有限售条件流通股份占总股本比例(%),境外自然人持有的有限售条件流通股份占总股本比例(%),其他有限售股流通股份占总股本比例(%),有限售条件流通股占总股本比例(%),无限售条件人民币普通股占总股本比例(%),无限售条件境内上市的外资股占总股本比例(%),无限售条件境外上市的外资股占总股本比例(%),其他无限售条件已上市流通股份占总股本比例(%),无限售条件流通股占总股本比例(%),股份总数占总股本比例(%)
600000,浦发银行,"0","0","3,730,694,283","0","0","0","0","0","0","3,730,694,283","14,922,777,132","0","0","0","14,922,777,132","18,653,471,415","-","-",20.0,"-","-","-","-","-","-",20.0,80.0,"-","-","-",80.0,100.0
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"0","0","0","0","0","0","0","0","0","0","1,150,000,000","0","0","0","1,150,000,000","1,150,000,000","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600005,武钢股份,"0","0","0","0","0","0","0","0","0","0","10,093,779,823","0","0","0","10,093,779,823","10,093,779,823","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600006,东风汽车,"0","0","0","0","0","0","0","0","0","0","2,000,000,000","0","0","0","0","2,000,000,000","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-","-",100.0
600007,中国国贸,"0","0","0","0","0","0","0","0","0","0","1,007,282,534","0","0","0","1,007,282,534","1,007,282,534","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600008,首创股份,"0","0","0","0","0","0","0","0","0","0","2,200,000,000","0","0","0","2,200,000,000","2,200,000,000","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600009,上海机场,"0","833,482,051","0","0","0","0","0","0","0","833,482,051","1,093,476,397","0","0","0","1,093,476,397","1,926,958,448","-",43.25,"-","-","-","-","-","-","-",43.25,56.75,"-","-","-",56.75,100.0
600010,包钢股份,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600011,华能国际,"0","0","0","0","0","0","0","0","0","0","10,500,000,000","0","3,555,383,440","0","14,055,383,440","14,055,383,440",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"-",0.0,74.7,0.0,25.3,0.0,100.0,100.0
600012,皖通高速,"0","0","0","0","0","0","0","0","0","0","1,165,600,000","0","493,010,000","0","0","1,658,610,000","-","-","-","-","-","-","-","-","-","-",70.28,"-",29.72,"-","-",100.0
600015,华夏银行,"0","1,747,863,960","0","0","0","669,092,738","669,092,738","0","0","2,416,956,698","6,487,686,811","0","0","0","6,487,686,811","8,904,643,509","-",19.63,"-","-","-",7.51,7.51,"-","-",27.14,72.86,"-","-","-",72.86,100.0
600016,民生银行,"0","0","0","0","0","0","0","0","0","0","22,588,209,933","0","5,777,982,840","0","28,366,192,773","28,366,192,773","-","-","-","-","-","-","-","-","-","-",79.63,"-",20.37,"-",100.0,100.0
600017,日照港,"0","411,933,084","33,089,144","33,089,144","0","0","0","0","0","445,022,228","2,630,631,660","0","0","0","2,630,631,660","3,075,653,888","-",13.39,1.08,1.08,"-","-","-","-","-",14.47,85.53,"-","-","-",85.53,100.0
600018,上港集团,"0","1,764,379,518","0","0","0","0","0","0","0","1,764,379,518","20,990,800,132","0","0","0","20,990,800,132","22,755,179,650","-",7.75,"-","-","-","-","-","-","-",7.75,92.25,"-","-","-",92.25,100.0
600019,宝钢股份,"0","0","0","0","0","0","0","0","0","0","16,471,724,924","0","0","0","0","16,471,724,924","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-","-",100.0
600020,中原高速,"0","0","0","0","0","0","0","0","0","0","2,247,371,832","0","0","0","2,247,371,832","2,247,371,832","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600021,上海电力,"0","0","0","0","0","0","0","0","0","0","2,139,739,257","0","0","0","2,139,739,257","2,139,739,257","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600022,山东钢铁,"0","1,093,137,645","0","0","0","0","0","0","0","1,093,137,645","5,343,158,152","0","0","0","5,343,158,152","6,436,295,797","-",16.98,"-","-","-","-","-","-","-",16.98,83.02,"-","-","-",83.02,100.0
600026,中海发展,"0","0","0","0","0","0","0","0","0","0","2,108,555,984","0","1,296,000,000","0","0","3,404,555,984","-","-","-","-","-","-","-","-","-","-",61.93,"-",38.07,"-","-",100.0
600027,华电国际,"0","60,000,000","0","0","0","0","0","0","0","60,000,000","7,311,084,200","0","0","0","7,311,084,200","7,371,084,200","-",0.81,0.0,"-","-","-","-","-","-",0.81,99.19,"-","-","-",99.19,100.0
600028,中国石化,"0","0","0","0","0","0","0","0","0","0","91,051,875,187","0","25,513,438,600","0","0","116,565,280,654","-","-","-","-","-","-","-","-","-","-",78.11,"-",21.89,"-","-",100.0
600029,南方航空,"0","0","0","0","0","0","0","0","0","0","7,022,650,000","0","2,794,917,000","0","0","9,817,567,000",0.0,"-","-","-","-","-","-","-","-","-",71.53,"-",28.47,"-","-",100.0
600030,中信证券,"0","0","23,919,000","0","0","0","0","0","0","23,919,000","9,814,661,700","0","1,178,327,700","0","10,992,989,400","11,016,908,400","-","-",0.22,"-","-","-","-","-","-",0.22,89.09,"-",10.7,"-",99.78,100.0
600031,三一重工,"0","22,797,900","0","22,797,900","0","0","0","0","0","22,797,900","7,593,706,137","0","0","0","7,593,706,137","7,616,504,037","-",0.3,"-",0.3,"-","-","-","-","-",0.3,99.7,"-","-","-",99.7,100.0
600033,福建高速,"1,404,652,473","0","0","0","0","0","0","0","0","1,404,652,473","1,339,747,527","0","0","0","1,339,747,527","2,744,400,000",51.18,"-","-","-","-","-","-","-","-",51.18,48.82,"-","-","-",48.82,100.0
600035,楚天高速,"0","0","0","0","0","0","0","0","0","0","931,652,495","0","0","0","931,652,495","931,652,495","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600036,招商银行,"0","0","0","0","0","0","0","0","0","0","20,628,944,429","0","4,590,901,172","0","25,219,845,601","25,219,845,601","-","-","-","-","-","-","-","-","-",0.0,81.8,0.0,18.2,0.0,100.0,100.0
600037,歌华有线,"0","0","0","0","0","0","0","0","0","0","1,060,368,074","0","0","0","1,060,368,074","1,060,368,074","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600038,哈飞股份,"0","208,346,716","43,780,000","0","0","0","0","0","0","252,126,716","337,350,000","0","0","0","337,350,000","589,476,716","-",35.34,7.43,"-","-","-","-","-","-",42.77,57.23,"-","-","-",57.23,100.0
600039,四川路桥,"0","531,002,971","431,663,365","431,663,365","0","0","0","0","0","962,666,336","547,200,000","0","0","0","547,200,000","1,509,866,336","-",35.17,28.59,28.59,"-","-","-","-","-",63.76,36.24,"-","-","-",36.24,100.0
600048,保利地产,"0","0","0","0","0","0","0","0","0","0","7,137,994,391","0","0","0","7,137,994,391","7,137,994,391","-","-","-","-","-","-","-","-","-",0.0,100.0,"-","-","-",100.0,100.0
600050,中国联通,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600051,宁波联合,"0","0","0","0","0","0","0","0","0","0","302,400,000","0","0","0","302,400,000","302,400,000","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600052,浙江广厦,"0","0","0","0","0","0","0","0","0","0","871,789,092","0","0","0","871,789,092","871,789,092","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600053,中江地产,"0","0","0","0","0","0","0","0","0","0","433,540,800","0","0","0","433,540,800","433,540,800","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600054,黄山旅游,"0","197,730,000","0","0","0","0","0","0","0","197,730,000","117,620,000","156,000,000","0","0","273,620,000","471,350,000","-",41.95,"-","-","-","-","-","-","-",41.95,24.95,33.1,"-","-",58.05,100.0
600055,华润万东,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600056,中国医药,"0","15,154,988","0","0","0","0","0","0","0","15,154,988","442,229,252","0","0","0","442,229,252","457,384,240","-",3.31,"-","-","-","-","-","-","-",3.31,96.69,"-","-","-",96.69,100.0
600057,象屿股份,"0","0","0","0","0","0","0","0","0","430,000,000","429,840,000","0","0","0","429,840,000","859,840,000","-","-","-","-","-","-","-","-","-",50.01,49.99,"-","-","-",49.99,100.0
600058,五矿发展,"0","0","0","0","0","0","0","0","0","0","1,071,910,711","0","0","0","1,071,910,711","1,071,910,711","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600059,古越龙山,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600060,海信电器,"0","0","0","0","0","0","0","0","0","0","1,308,481,222","0","0","0","1,308,481,222","1,308,481,222","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600061,中纺投资,"0","0","0","0","0","0","0","0","0","0","429,082,940","0","0","0","429,082,940","429,082,940","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600062,华润双鹤,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600063,皖维高新,"0","0","0","0","0","0","0","0","0","0","149,785.33","0","0","0","149,785.33","149,785.33","-","-","-","-","-","-","-","-","-",0.0,100.0,"-","-","-",100.0,100.0
600064,南京高科,"0","0","0","0","0","0","0","0","0","0","516,218,832","0","0","0","516,218,832","516,218,832","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600065,*ST联谊,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600066,宇通客车,"0","0","0","0","51,060,240","0","0","0","0","51,060,240","1,222,649,622","0","0","0","1,222,649,622","1,273,709,862","-","-","-","-",4.01,"-","-","-","-",4.01,95.99,"-","-","-",95.99,100.0
600067,冠城大通,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600068,葛洲坝,"0","0","0","0","0","0","0","0","0","0","3,487,458,977","0","0","0","3,487,458,977","3,487,458,977","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600069,银鸽投资,"0","0","0","0","0","0","0","0","0","0","825,374,144","0","0","0","825,374,144","825,374,144","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600070,浙江富润,"0","0","0","0","0","0","0","0","0","0","182,878,488","0","0","0","182,878,488","182,878,488","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600071,凤凰光学,"0","0","0","0","0","0","0","0","0","0","237,472,456","0","0","0","237,472,456","237,472,456","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600072,中船股份,"0","0","0","0","0","0","0","0","0","0","478,429,586","0","0","0","478,429,586","478,429,586","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600073,上海梅林,"0","46,935,027","0","0","0","0","0","0","0","46,935,027","775,800,114","0","0","0","775,800,114","822,735,141","-",5.7,"-","-","-","-","-","-","-",5.7,94.3,"-","-","-",94.3,100.0
