股票代码,简称,1,2,3,4,5,6,7,8,9,10
600000,浦发银行,"股东名称：中国移动通信集团广东有限公司;持股数量：3,730,694,283;持股比例：20%","股东名称：上海国际集团有限公司;持股数量：3,157,513,917;持股比例：16.93%","股东名称：上海国际信托有限公司;持股数量：975,923,794;持股比例：5.23%","股东名称：上海国鑫投资发展有限公司;持股数量：377,101,999;持股比例：2.02%","股东名称：百联集团有限公司;持股数量：190,083,517;持股比例：1.02%","股东名称：雅戈尔集团股份有限公司;持股数量：162,000,000;持股比例：0.87%","股东名称：中国烟草总公司江苏省公司（江苏省烟草公司）;持股数量：160,880,407;持股比例：0.86%","股东名称：香港中央结算有限公司;持股数量：148,594,150;持股比例：0.8%","股东名称：上海市邮政公司;持股数量：113,141,353;持股比例：0.61%","股东名称：中国证券金融股份有限公司;持股数量：88,270,957;持股比例：0.47%"
600001,邯郸钢铁,"","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","",""
600003,ST东北高,"","","","","","","","","",""
600004,白云机场,"股东名称：广东省机场管理集团有限公司;持股数量：712,591,458;持股比例：61.96%","股东名称：DEUTSCHE BANK AKTIENGESELLSCHAFT;持股数量：12,608,705;持股比例：1.1%","股东名称：宏源证券股份有限公司客户信用交易担保证券账户;持股数量：7,603,507;持股比例：0.66%","股东名称：广州交通投资有限公司;持股数量：5,240,000;持股比例：0.46%","股东名称：前海人寿保险股份有限公司－自有资金华泰组合;持股数量：5,002,847;持股比例：0.44%","股东名称：厦门国际信托有限公司－浙商一号新型结构化证券投资集合资金信托;持股数量：3,750,463;持股比例：0.33%","股东名称：中国民航机场建设集团公司;持股数量：3,650,000;持股比例：0.32%","股东名称：国泰君安证券股份有限公司客户信用交易担保证券账户;持股数量：3,537,756;持股比例：0.31%","股东名称：华泰证券股份有限公司客户信用交易担保证券账户;持股数量：3,237,214;持股比例：0.28%","股东名称：广发证券股份有限公司客户信用交易担保证券账户;持股数量：3,052,860;持股比例：0.27%"
600005,武钢股份,"股东名称：武汉钢铁(集团)公司;持股数量：6,495,503,954;持股比例：64.35%","股东名称：中国海运(集团)总公司;持股数量：300,000,000;持股比例：2.97%","股东名称：杨瑞芬;持股数量：41,882,900;持股比例：0.42%","股东名称：廖强;持股数量：25,596,300;持股比例：0.25%","股东名称：吉富创业投资股份有限公司;持股数量：24,000,000;持股比例：0.24%","股东名称：中国银行－嘉实稳健开放式证券投资基金;持股数量：20,000,000;持股比例：0.2%","股东名称：中国工商银行－华安MSCI中国A股指数增强型证券投资基金;持股数量：18,063,051;持股比例：0.18%","股东名称：中国建设银行－华宝兴业行业精选股票型证券投资基金;持股数量：14,999,981;持股比例：0.15%","股东名称：刘佳玉;持股数量：14,545,600;持股比例：0.14%","股东名称：中国人民健康保险股份有限公司－传统－普通保险产品;持股数量：12,999,943;持股比例：0.13%"
600006,东风汽车,"股东名称：东风汽车有限公司;持股数量：1,202,000,000;持股比例：60.1%","股东名称：北京金盛阳光投资有限公司;持股数量：24,442,820;持股比例：1.22%","股东名称：西南证券股份有限公司;持股数量：17,368,101;持股比例：0.87%","股东名称：中国工商银行－南方绩优成长股票型证券投资基金;持股数量：12,114,435;持股比例：0.61%","股东名称：长江证券股份有限公司;持股数量：10,030,000;持股比例：0.5%","股东名称：东风汽车公司;持股数量：8,841,838;持股比例：0.44%","股东名称：中国人寿保险(集团)公司－传统－普通保险产品;持股数量：8,599,898;持股比例：0.43%","股东名称：李火根;持股数量：7,870,358;持股比例：0.39%","股东名称：中信信托有限责任公司－中信·稳健分层型证券投资集合资金信托计划1304D期;持股数量：7,594,775;持股比例：0.38%","股东名称：中信信托有限责任公司－稳健分层型证券投资集合资金信托计划1403C期;持股数量：7,446,893;持股比例：0.37%"
600007,中国国贸,"股东名称：中国国际贸易中心有限公司;持股数量：812,360,241;持股比例：80.65%","股东名称：YALE UNIVERSITY   ;持股数量：16,299,587;持股比例：1.62%","股东名称：MERRILL LYNCH INTERNATIONAL   ;持股数量：10,401,502;持股比例：1.03%","股东名称：中国农业银行股份有限公司－新华优选分红混合型证券投资基金    ;持股数量：9,539,187;持股比例：0.95%","股东名称：张利国;持股数量：7,278,685;持股比例：0.72%","股东名称：高瓴资本管理有限公司－HCM中国基金  ;持股数量：6,995,028;持股比例：0.69%","股东名称：高继飞;持股数量：6,599,030;持股比例：0.66%","股东名称：中国建设银行股份有限公司－新华钻石品质企业股票型证券投资基金   ;持股数量：5,488,019;持股比例：0.54%","股东名称：得克萨斯大学体系董事会－自有资金;持股数量：4,689,341;持股比例：0.47%","股东名称：张俊发;持股数量：3,937,000;持股比例：0.39%"
600008,首创股份,"股东名称：北京首都创业集团有限公司;持股数量：1,309,291,709;持股比例：59.52%","股东名称：融通新蓝筹证券投资基金;持股数量：18,000,000;持股比例：0.82%","股东名称：楼文胜;持股数量：12,135,888;持股比例：0.55%","股东名称：东方证券股份有限公司;持股数量：8,116,318;持股比例：0.37%","股东名称：全国社保基金一零六组合;持股数量：7,377,037;持股比例：0.34%","股东名称：北京高校房地产开发总公司;持股数量：6,455,000;持股比例：0.29%","股东名称：中国农业银行股份有限公司-富国中证国有企业改革指数分级证券投资基金;持股数量：6,329,020;持股比例：0.29%","股东名称：中国银行股份有限公司－嘉实沪深300交易型开放式指数证券投资基金;持股数量：6,023,313;持股比例：0.27%","股东名称：中国建设银行股份有限公司－华商价值共享灵活配置混合型发起式证券投资基金;持股数量：4,999,947;持股比例：0.23%","股东名称：中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金;持股数量：4,531,671;持股比例：0.21%"
600009,上海机场,"股东名称：上海机场（集团）有限公司;持股数量：1,026,177,895;持股比例：53.25%","股东名称：香港中央结算有限公司;持股数量：80,609,521;持股比例：4.18%","股东名称：易方达资产管理(香港)有限公司－客户资金;持股数量：40,737,676;持股比例：2.11%","股东名称：易方达资产管理(香港)有限公司－客户资金(交易所)1;持股数量：29,330,806;持股比例：1.52%","股东名称：YALE  UNIVERSITY;持股数量：17,370,433;持股比例：0.9%","股东名称：GIC PRIVATE  LIMITED;持股数量：14,302,249;持股比例：0.74%","股东名称：富达基金(香港)有限公司－客户资金;持股数量：13,106,871;持股比例：0.68%","股东名称：加拿大年金计划投资委员会－自有资金;持股数量：11,827,625;持股比例：0.61%","股东名称：易方达资产管理（香港）有限公司－客户资金（交易所）2;持股数量：11,740,394;持股比例：0.61%","股东名称：UBS？AG;持股数量：11,641,111;持股比例：0.6%"
600010,包钢股份,"股东名称：包头钢铁（集团）有限责任公司;持股数量：8,125,182,522;持股比例：50.77%","股东名称：中国长城资产管理公司;持股数量：265,229,800;持股比例：1.66%","股东名称：广发证券股份有限公司客户信用交易担保证券账户;持股数量：161,835,496;持股比例：1.01%","股东名称：招商证券股份有限公司客户信用交易担保证券账户;持股数量：159,141,479;持股比例：0.99%","股东名称：华泰证券股份有限公司客户信用交易担保证券账户;持股数量：155,896,665;持股比例：0.97%","股东名称：国泰君安证券股份有限公司客户信用交易担保证券账户;持股数量：136,224,262;持股比例：0.85%","股东名称：中国银河证券股份有限公司客户信用交易担保证券账户;持股数量：129,795,778;持股比例：0.81%","股东名称：光大证券股份有限公司客户信用交易担保证券账户;持股数量：113,372,662;持股比例：0.71%","股东名称：申银万国证券股份有限公司客户信用交易担保证券账户;持股数量：107,209,075;持股比例：0.67%","股东名称：国信证券股份有限公司客户信用交易担保证券账户;持股数量：94,191,699;持股比例：0.59%"
600011,华能国际,"股东名称：华能国际电力开发公司;持股数量：5,066,662,118;持股比例：35.14%","股东名称：香港中央结算（代理人）有限公司;持股数量：3,186,066,597;持股比例：22.09%","股东名称：中国华能集团公司*;持股数量：1,561,371,213;持股比例：10.83%","股东名称：河北建设投资集团有限责任公司;持股数量：603,000,000;持股比例：4.18%","股东名称：中国华能集团香港有限公司;持股数量：472,000,000;持股比例：3.27%","股东名称：江苏省投资管理有限责任公司;持股数量：416,500,000;持股比例：2.89%","股东名称：辽宁能源投资（集团）有限责任公司;持股数量：388,619,936;持股比例：2.69%","股东名称：福建省投资开发集团有限责任公司;持股数量：374,467,500;持股比例：2.6%","股东名称：大连市建设投资集团有限公司;持股数量：301,500,000;持股比例：2.09%","股东名称：汇丰代理人（香港）有限公司;持股数量：243,210,000;持股比例：1.69%"
600012,皖通高速,"股东名称：安徽省高速公路控股集团有限公司;持股数量：524,644,220;持股比例：31.63%","股东名称：HKSCC NOMINEES LIMITED（代理人）;持股数量：488,769,898;持股比例：29.47%","股东名称：招商局华建公路投资有限公司;持股数量：404,191,501;持股比例：24.37%","股东名称：中国银行股份有限公司－华泰柏瑞积极成长混合型证券投资基金;持股数量：10,799,183;持股比例：0.65%","股东名称：郑彩萍;持股数量：3,187,449;持股比例：0.19%","股东名称：全国社保基金四零二组合;持股数量：3,153,279;持股比例：0.19%","股东名称：中国农业银行股份有限公司－摩根士丹利华鑫量化配置股票型证券投资基金;持股数量：2,294,180;持股比例：0.14%","股东名称：兰州黄河高效农业发展有限公司;持股数量：2,000,000;持股比例：0.12%","股东名称：DEUTSCHE  BANK AKTIENGESELLSCHAFT;持股数量：1,783,697;持股比例：0.11%","股东名称：袁惠;持股数量：1,724,232;持股比例：0.1%"
600015,华夏银行,"股东名称：首钢总公司;持股数量：1,805,506,536;持股比例：20.28%","股东名称：国网英大国际控股集团有限公司;持股数量：1,623,994,960;持股比例：18.24%","股东名称：DEUTSCHE BANK LUXEMBOURG S.A.德意志银行卢森堡股份有限公司;持股数量：826,392,738;持股比例：9.28%","股东名称：DEUTSCHE
  BANK AKTIENGESELLSCHAFT德意志银行股份有限公司;持股数量：731,085,499;持股比例：8.21%","股东名称：红塔烟草（集团）有限责任公司;持股数量：389,480,000;持股比例：4.37%","股东名称：SAL.OPPENHEIM
  JR.＆CIE.KOMMANDITGESELLSCHAFT AUF AKTIEN萨尔·奥彭海姆股份有限合伙企业;持股数量：222,560,000;持股比例：2.5%","股东名称：润华集团股份有限公司;持股数量：200,800,000;持股比例：2.26%","股东名称：北京三吉利能源股份有限公司;持股数量：126,935,034;持股比例：1.43%","股东名称：上海健特生命科技有限公司;持股数量：116,438,819;持股比例：1.31%","股东名称：包头华资实业股份有限公司;持股数量：58,800,000;持股比例：0.66%"
600016,民生银行,"股东名称：香港中央结算(代理人)有限公司;持股数量：6,894,167,177;持股比例：20.19%","股东名称：安邦人寿保险股份有限公司－稳健型投资组合;持股数量：1,698,579,144;持股比例：4.97%","股东名称：安邦财产保险股份有限公司－传统产品;持股数量：1,665,225,632;持股比例：4.88%","股东名称：新希望投资有限公司;持股数量：1,600,304,190;持股比例：4.69%","股东名称：中国人寿保险股份有限公司－传统－普通保险产品－005L－CT001沪;持股数量：1,381,568,777;持股比例：4.05%","股东名称：上海健特生命科技有限公司;持股数量：1,149,732,989;持股比例：3.37%","股东名称：中国船东互保协会;持股数量：1,086,917,406;持股比例：3.18%","股东名称：东方集团股份有限公司;持股数量：1,066,764,269;持股比例：3.12%","股东名称：安邦保险集团股份有限公司－传统保险产品;持股数量：939,292,013;持股比例：2.75%","股东名称：中国泛海控股集团有限公司;持股数量：838,726,939;持股比例：2.46%"
600017,日照港,"股东名称：日照港集团有限公司;持股数量：1,263,740,123;持股比例：41.09%","股东名称：兖矿集团有限公司;持股数量：186,514,800;持股比例：6.06%","股东名称：山东高速集团有限公司;持股数量：117,000,000;持股比例：3.8%","股东名称：日照港集团岚山港务有限公司;持股数量：79,993,559;持股比例：2.6%","股东名称：淄博矿业集团有限责任公司;持股数量：72,199,200;持股比例：2.35%","股东名称：中国华融资产管理股份有限公司;持股数量：59,500,000;持股比例：1.93%","股东名称：山东钢铁集团有限公司;持股数量：40,442,288;持股比例：1.31%","股东名称：中国长城资产管理公司;持股数量：39,000,000;持股比例：1.27%","股东名称：山东海洋投资有限公司;持股数量：39,000,000;持股比例：1.27%","股东名称：中国中煤能源集团有限公司;持股数量：25,824,787;持股比例：0.84%"
